rt_ref_link_id,rt_ref_link_id_old,orig_lang_abbrev,lex_ref_link_id,ref_id,ref_rt_index,word_id,ref_wd_index,reflex,category,gloss_orig,gloss_eng,questionable,notes,expanded_notes,original_text,created_by,last_updated_by,last_updated,rt_master_id,derivation,rt_index,orig_lang_abbrev_raw,lang_map_status
6893.0,495.0,,556,liv,70.0,,556,ni.diiātąm,zero-grade i̯é-present,soll angebunden werden,should be bound,0,4,"4: Graphisch für *°diiatąm; KELLENS, Verbe 21-2 mit Anm. 6, 120-1 mit Anm. 4; BEEKES, Gramm. 46, 171, 206; HUMBACH, Die Gathas I 26, II 78; KELLENS-PIRART I 61; nach HUMBACH, The Gāthās II 201 jedoch Passiv zu av. ni.dā ‘niederlegen’.",aav. Ipv. Präs. Med. ni.diiātąm ‘soll angebunden werden’{4},"TD, AMB",AMB,07_23_2025_1516,347.0,zero-grade i̯é-present,,Unnamed,unmapped
6897.0,484.0,,564,liv,72.0,,564,diṣva,root aorist,teile zu!,allot!,0,2,"2: Vgl. EWAiaI 717 mit Lit.,‘abtrennen’ ← ‘abteilen’ nur mit áva; kein Zusammenhangmit iir. *dā- ‘mähen’, s. *deH-.","ved. (YV) diṣva ‘teile zu!’, (MS) áva adāt ‘hat abgetrennt’{2}","TD, AMB",AMB,07_23_2025_1516,340.0,root aorist,,ved. (YV),conflict
6897.0,484.0,,565,liv,72.0,,565,áva adāt,root aorist,hat abgetrennt,has separated,0,,,"ved. (YV) diṣva ‘teile zu!’, (MS) áva adāt ‘hat abgetrennt’{2}","TD, AMB",AMB,07_23_2025_1516,340.0,root aorist,,ved. (MS),conflict
6898.0,484.0,,566,liv,72.0,,566,ava-dyáti,zero-grade é-present,trennt ab,separates,0,3,"3: Mit d statt *dh < *dh₂ nach dem Aor. dā- < *deh₂-; ebenso bei dáyate. Morphologische Analyse (nicht *dh₂-i̯é-) nach KULIKOV, Koll. Erlangen 267-79.",ved. (YV) ava-dyáti ‘trennt ab’{3},"TD, AMB",AMB,07_23_2025_1516,340.0,zero-grade é-present,,ved. (YV),conflict
6904.0,490.0,,576,liv,74.0,,576,dunóti,nasal-infix present,"zündet an, verbrennt","ignites, burns",0,4,"4: Aus *dunā́ti, vgl. z.B. kṣiṇó- AV+ ← kṣiṇā́- RV (s. *dʰgʷʰei̯-).","[ved. (AV) dunóti ‘zündet an, verbrennt’{4}","TD, AMB",AMB,07_23_2025_1516,344.0,nasal-infix present,,ved. (AV),conflict
6909.0,573.0,,583,liv,75.0,,583,dāi,root aorist,"nimmt, nehmen","takes, to take",0,1,"1: Zur 1s Prät. Med. *dahha < *dh₃-h₂é wurde ein neues Präsens *dahhai̯ > dahhe gebildet, dann in die (aktive) hi-Konj. überführt, vgl. EICHNER, FT Regensburg 93-4; OETTINGER 500-1; Bedeutung aus reflexivem ‘sich geben’, vgl. ved. ā́ dā Med. ‘nehmen, bekommen’.","[heth. dāi, danzi ‘nimmt, nehmen’{1}","TD, AMB",AMB,07_23_2025_1516,401.0,root aorist,,,empty
6909.0,573.0,,584,liv,75.0,,584,danzi,root aorist,"nimmt, nehmen","takes, to take",0,,,"[heth. dāi, danzi ‘nimmt, nehmen’{1}","TD, AMB",AMB,07_23_2025_1516,401.0,root aorist,,,empty
6910.0,573.0,,604,liv,75.0,,604,ðiðonti,e-reduplicated athematic present,geben,to give,1,16a,16a,?keltib. (Konj.?) ðiðonti K.1.1 ‘geben’{16a}; [air. do:rat(a)i ‘kann geben’{16b}; [kymr. rhoddaf ‘gebe’{17},"TD, AMB",AMB,07_23_2025_1516,401.0,e-reduplicated athematic present,,keltib,unmapped
6910.0,573.0,,606,liv,75.0,,606,rhoddaf,e-reduplicated athematic present,gebe,I give,1,17,17: Aus *ro-dā- ← *pro-dedō- (mit Reduplikationsverlust im Kompositum?) ist Neowurzel *rod- abstrahiert.,?keltib. (Konj.?) ðiðonti K.1.1 ‘geben’{16a}; [air. do:rat(a)i ‘kann geben’{16b}; [kymr. rhoddaf ‘gebe’{17},"TD, AMB",AMB,07_23_2025_1516,401.0,e-reduplicated athematic present,,kymr,unmapped
7090.0,639.0,,1011,liv,118.0,,1011,daghnuyāt,nasal-infix present,würde knapp verfehlen,,0,9,"9: Mit R(e) nach Aor. dhak, dagh-. Nicht hierher aav. aɣžōnuuamna- (s. 1.*g(ʷ)ʰes- ‘verzehren’), s. LIPP 4.8.7.2.",[ved. (KS) Opt. daghnuyāt ‘würde knapp verfehlen’{9},"TD, AMB",AMB,07_23_2025_1516,443.0,nasal-infix present,,ved. (KS),conflict
7656.0,1266.0,,2270,liv,276.0,,2270,juvāre,R(z)e-present,kämpfen,to fight,0,8,8: EMMERICK 36.,khot. 3p Med. juvāre ‘kämpfen’{8},"TD, AMB",AMB,07_23_2025_1516,902.0,R(z)e-present,,khot,unmapped
8066.0,204.0,,3144,liv,401.0,,3144,vr̥ṣat,root aorist,regnet,rain,0,,,"[ved. ávarṣit ‘hat geregnet’, (AVP) vr̥ṣat ‘regnet’{2}","TD, AMB",AMB,07_23_2025_1516,148.0,root aorist,,AVP,unmapped
8536.0,1398.0,,4030,liv,532.0,,4030,hlōwan,R(o)i̯e-present,brüllen,to roar / bellow,0,6,"6: Rückbildung zum Perf. *hle-hlō mit o-Stufe, vgl. HARÐARSON 82.",ae. (+) hlōwan ‘brüllen’{6},"TD, AMB",AMB,07_23_2025_1516,1007.0,R(o)i̯e-present,,ae,unmapped
