lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
10476,don,"place, spot",233,don,of/from the sg,of/from the sg
10476,don,"place, spot",234,don,to/for the sg,to/for the sg
10476,don,"place, spot",235,don,"misfortune, evil","misfortune, evil"
11001,der,"daughter, girl",1306,dér,"tear, teardrop (from the eyes)","tear, teardrop (from the eyes)"
11001,der,"daughter, girl",1307,dér,third-person singular future/present subjunctive prototonic of do·éirig,third-person singular future/present subjunctive prototonic of do·éirig
11662,ban,\N,68,ban,genitive dual/plural of ben,genitive dual/plural of ben
11662,ban,\N,69,ban,first-person plural imperative of is,first-person plural imperative of is
11662,ban,\N,525,bán,white,white
17515,sén,net (for bird catching),389,sen,old,old
17515,sén,net (for bird catching),2713,sén,"a sign, omen, portent","a sign, omen, portent"
17515,sén,net (for bird catching),2714,sén,second-person singular imperative of sénaid,second-person singular imperative of sénaid
17515,sén,net (for bird catching),2715,sén,third-person singular preterite conjunct of sénaid,third-person singular preterite conjunct of sénaid
19161,fíad,"respect, honor",1673,fíad,"game, wild animals","game, wild animals"
19161,fíad,"respect, honor",1674,fíad,before (in time),before (in time)
19491,āin,"driving, game",635,ain,third-person singular future/present subjunctive conjunct of aingid,third-person singular future/present subjunctive conjunct of aingid
19491,āin,"driving, game",636,ain,second-person singular imperative of aingid,second-person singular imperative of aingid
19491,āin,"driving, game",5928,aín,fasting (period of time when one abstains from or eats very little food),fasting (period of time when one abstains from or eats very little food)
21800,ō,\N,13,o,alternative spelling of ó,alternative spelling of ó
21800,ō,\N,14,o,alternative spelling of ó,alternative spelling of ó
21800,ō,\N,710,ó,"from, of","from, of"
21800,ō,\N,711,ó,since (with preterite),since (with preterite)
21800,ō,\N,712,ó,alternative form of áu (“ear”),alternative form of áu (“ear”)
33892,a,to be,611,á,"alternative form of a (“that which, what”)","alternative form of a (“that which, what”)"
33892,a,to be,612,á,"alternative form of a (“his, her, its, their”)","alternative form of a (“his, her, its, their”)"
33892,a,to be,613,á,alternative form of a (“O”),alternative form of a (“O”)
33892,a,to be,614,á,mouth,mouth
33892,a,to be,615,á,"cart, chariot","cart, chariot"
33892,a,to be,616,á,alternative form of a (“out of”),alternative form of a (“out of”)
34746,ēo,yew,2336,eó,salmon,salmon
34746,ēo,yew,2337,eó,"stem, shaft","stem, shaft"
34889,Īär,\N,829,iar,alternative spelling of íar,alternative spelling of íar
34889,Īär,\N,3722,íar,after,after
35242,lotar,\N,2627,lotar,third-person plural preterite absolute of téit,third-person plural preterite absolute of téit
35242,lotar,\N,2628,lotar,third-person plural preterite conjunct of téit,third-person plural preterite conjunct of téit
35523,ind-,\N,2946,ind-,alternative form of id-,alternative form of id-
35523,ind-,\N,2947,ind-,"inside, within","inside, within"
35607,etir,between,1567,etir,at all,at all
35607,etir,between,1568,etir,third-person singular of eter,third-person singular of eter
44359,ban,woman,68,ban,genitive dual/plural of ben,genitive dual/plural of ben
44359,ban,woman,69,ban,first-person plural imperative of is,first-person plural imperative of is
44359,ban,woman,525,bán,white,white
45093,geiss,"curse, taboo",3022,géiss,swan,swan
45093,geiss,"curse, taboo",5274,geiss,third-person singular present subjunctive absolute of guidid,third-person singular present subjunctive absolute of guidid
45093,geiss,"curse, taboo",5275,geiss,second-person singular present subjunctive conjunct of guidid,second-person singular present subjunctive conjunct of guidid
45883,íth,"porridge, broth",478,ith,"corn, grain","corn, grain"
45883,íth,"porridge, broth",479,ith,second-person singular imperative of ithid,second-person singular imperative of ithid
47887,coll,one-eyed,703,coll,hazel (tree or shrub of the genus Corylus),hazel (tree or shrub of the genus Corylus)
47887,coll,one-eyed,704,coll,"destruction, injury, violation","destruction, injury, violation"
55643,līa,stone,826,lia,comparative degree of il: more,comparative degree of il: more
55643,līa,stone,827,lia,"with his, its m","(triggers lenition) with his, its m"
57494,mīn,"smooth, gentle",456,min,"minute, small","minute, small"
57494,mīn,"smooth, gentle",457,min,dative/accusative singular of men,dative/accusative singular of men
59628,mó,soon,517,mó,comparative degree of mór,comparative degree of mór
59628,mó,soon,576,mo,my,my
60717,nert,"manliness, army",1201,nert,power,power
60717,nert,"manliness, army",1202,nert,second-person singular imperative of nertaid,second-person singular imperative of nertaid
60717,nert,"manliness, army",1203,nert,third-person singular preterite conjunct of nertaid,third-person singular preterite conjunct of nertaid
61767,ōcht,cold,1186,ocht,eight,eight
61767,ōcht,cold,1187,ocht,alternative form of ucht (“breast”),alternative form of ucht (“breast”)
61767,ōcht,cold,2318,ócht,alternative form of úacht,alternative form of úacht
64888,less,citadel,245,less,"benefit, advantage","benefit, advantage"
64888,less,citadel,246,less,alternative spelling of les (third-person singular masculine of la),alternative spelling of les (third-person singular masculine of la)
65498,ōg,virginal,524,óg,"whole, entire","whole, entire"
65498,ōg,virginal,627,og,egg,egg
68136,sūide,soot,3383,suide,this,this
68136,sūide,soot,3384,suide,verbal noun of saidid,verbal noun of saidid
74496,lēss,light,245,less,"benefit, advantage","benefit, advantage"
74496,lēss,light,246,less,alternative spelling of les (third-person singular masculine of la),alternative spelling of les (third-person singular masculine of la)
79848,tremi-,through,6057,tremi-,Pretonic form of tre-,Pretonic form of tre-
79848,tremi-,through,6058,tremi-,alternative form of tarmi- (pretonic form of tairm-),alternative form of tarmi- (pretonic form of tairm-)
81683,ōs,"above, over",22,os,disjunctive conjunction,disjunctive conjunction
81683,ōs,"above, over",1085,ós,alternative form of úas,alternative form of úas
84959,fūar,inv??ni,755,fuar,"verbal noun of fo·fera: provision, preparation","verbal noun of fo·fera: provision, preparation"
84959,fūar,inv??ni,6257,fúar,first-person singular preterite prototonic of fo·gaib,first-person singular preterite prototonic of fo·gaib
