lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
509,bo,was,859,bó,"ox, cow","ox, cow"
2674,-acht,"drove, led",1621,-acht,"-ness, -hood; forms abstract nouns.","-ness, -hood; forms abstract nouns."
2821,-an,"remained, waited, stopped",1619,-án,diminutive suffix,diminutive suffix
5536,-ib,drink,4297,-ib,forms the dative dual and plural of nouns,forms the dative dual and plural of nouns
7138,-sní,binds; strives for,1450,-sni,1st person plural emphatic suffix,1st person plural emphatic suffix
7824,tess,I will flee,1024,tess,heat,heat
8631,fil,there is,141,fil,present progressive conjunct of at·tá,present progressive conjunct of at·tá
9347,breth,"(e.g. in tarm- 'transference, translation')",4398,breth,"verbal noun of beirid: carrying, bearing","verbal noun of beirid: carrying, bearing"
11106,doirseo,door,2003,doirseo,genitive singular of dorus,genitive singular of dorus
12761,fó,good,237,fo,"under, beneath","under, beneath"
12955,tán,driving away,57,tan,time,(point in) time
14741,cath,wise?,1309,cath,"battle, fight","battle, fight"
15095,cúᴸ,dog,1638,cúl,back,back
15135,cuire,"troop, band",465,cuire,second-person singular imperative of fo·ceird,second-person singular imperative of fo·ceird
15447,mát,pig,336,mat,third-person plural present subjunctive of masu,third-person plural present subjunctive of masu
15865,múad,~ good; proud,2204,Muad,the Moy (a river in Ireland),the Moy (a river in Ireland)
20542,innunn,across,5537,innúnn,"alternative form of innonn (“there, thither”)","alternative form of innonn (“there, thither”)"
28350,condid,firewood,5616,condid,alternative form of conid (“so that (it) is”),alternative form of conid (“so that (it) is”)
29402,dam-,"submit, suffer, allow",4246,dam-,alternative form of dom- (“me”),alternative form of dom- (“me”)
30367,den,"capable, strong",2127,dén,form of dénai,form of dénai
30468,doë,slow,255,doe,upper arm,upper arm
32480,drēcht,"song, story",4377,drécht,"portion, part","portion, part"
32866,dóë,rampart,255,doe,upper arm,upper arm
33245,dōë,sluggish,255,doe,upper arm,upper arm
37318,fāsach,desert,2189,fásach,precedent (a decision which has passed into a maxim),(law) precedent (a decision which has passed into a maxim)
46631,cécht,power,6063,cécht,plough beam,plough beam
47016,gabor,buck; mare,1644,gabor,goat,goat
51698,cēt-,"with, by, along",4540,cét-,first,first
51699,ceta-,"with, by, along",4541,ceta-,pretonic form of cét- (“first”),pretonic form of cét- (“first”)
52908,cul,wagon,1638,cúl,back,back
53494,crīth,"payment, purchase",691,crith,"shaking, trembling","shaking, trembling"
54479,lië,"flood, sea",115,lie,a stone,a stone
56225,lōathar,"pelvis, canalis",6127,loathar,liquid-holding vessel,liquid-holding vessel
56603,mēn,"mouth, bay",54,men,"flour, meal","flour, meal"
56813,matan,club,894,matan,morning,morning
57368,mōin,"treasure, precious thing",2300,móin,peat moss,peat moss
60183,nu-,verbal support particles,1363,nu-,alternative form of no-,alternative form of no-
60604,nem,poison,218,nem,heaven,heaven
62887,laë,day,1374,lae,alternative form of lá,alternative form of lá
66583,ringid,"tortures, torments",6157,ringid,"to tear up, mangle","to tear up, mangle"
68070,deïd,sluggish,1088,deid,genitive singular of dead,genitive singular of dead
68059,sīd,peace,2386,síd,fairy mound,fairy mound
69273,sām,rest,579,sam,summer,summer
74515,selg,spleen,1138,selg,hunt,hunt
79346,téchtaid,curdles,3385,techtaid,"to have, to possess","to have, to possess"
80517,tō,yes,787,tó,first-person singular present progressive conjunct of at·tá,first-person singular present progressive conjunct of at·tá
81034,tromm,heavy,5471,tromm,elder tree,elder tree
82213,fedan,"team, harness",794,fedan,"verbal noun of feidid: carrying, conveying","verbal noun of feidid: carrying, conveying"
84045,flann,blood; blood-red,4427,Flann,a unisex given name,a unisex given name
