lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
19904,āl,flame,1403,al,An,"An AWL, a fork, flesh-hook; subula, fuscinula, harpago :-- þirlige his eáre mid ale bore his ear through with an awl, Lev. 25, 10: L. Alf. 11; Th. i. 46, 10, MS. G. [Chauc, oule: Wyc. al: O. H. Ger. ala, f: M. H. Ger. al, f: Ger. ahle. f; O. Nrs. alr, m.]"
19904,āl,flame,1404,al,all,"all, Cd. 213; Th. 265, 16; Sat. 8: 214; Th. 268, 24; Sat. 60. v. eal."
26045,beorn,"warrior, chieftain",3747,beorn,children,"children, Th. Diplm. A. D. 830; 466, 5. v. bearn."
26045,beorn,"warrior, chieftain",3748,beorn,for,"for bearn burned, Beo. Th. 3764, note; B. 1880; p. of beornan."
26045,beorn,"warrior, chieftain",3749,BEORN,a man;,"a man; vir :-- Se beorn on waruþe scip gemétte the man found a ship on the strand, Andr. Kmbl. 478; An. 239 : 1203; An. 602. Boétius wæs beorn bóca Boethius was a man skilled in books, Bt. Met. Fox 1, 103; Met. 1, 52 : Exon. 83 a; Th. 313, 22; Mód. 4. Beornes blóde with man's blood, Bt. Met. Fox 8, 67; Met. 8, 34. Beornas Baðan nemnaþ men name Bath, Chr. 973; Erl. 124, 12; Edg. 5. Beornas geonge young men, Cd. 184; Th. 230, 13; Dan. 232. Beorna sélost the best of men, 162; Th. 203, 10; Exod. 401 : Bt. Met. Fox 21, 82; Met. 21, 41."
25863,brǣð,"vapor, breath, wind",4917,bræd,"Fraud, deceit","Fraud, deceit; fraus, dolus :-- He hit dyde bútan brede [bræde MS. B.] and bigswíce he did it without fraud and guile, L. Ed. 1; Th. i. 160, 6. Ic spæce drífe bútan bræde and bútan bíswíce I prosecute my suit without fraud and without guile, L. O. 2; Th. i. 178, 13. Bred fucus, fraus, astus, Cot. 10."
25863,brǣð,"vapor, breath, wind",4918,bræd,"plucked, drew out","plucked, drew out, Byrht. Th. 136, 20; By. 154; p. of bredan."
25863,brǣð,"vapor, breath, wind",4919,brǽd,indecl. f.,"indecl. f. [brád broad; latus] BREADTH, width, latitude; latitudo, amplitudo :-- Biþ se arc fíftig fæðma on brǽde the ark shall be fifty fathoms in breadth; quinquaginta cubitorum erit latitudo arcæ, Gen. 6, 15. On brǽdo his stealles latitudine sui status, Bd. 1, 1; S. 474, 29. Ic on brǽdu [brǽde, Spl.] gange ambulabam in latitudine, Ps. Th. 118, 45. Drihten me gehýrde on heáre [ = heáhre, MS. hearr] brǽdu exaudivit me in latitudine Dominus, 117, 5. Hí habbaþ ingang swá mycelre brǽdo swá mon mæg mid liðeran geworpan habet ingressum amplitudinis quasi jactus fundæ, Bd. 4, 13; S. 583, 11. [Chauc. brede: Wyc. breede: O. Frs. brede, f: Dut. breedte, f: Ger. M. H. Ger. breite, f: O. H. Ger. breiti, f: Goth. braidei, f: Dan. brede, c: Swed. bredd, f: Icel. breidd, f. breadth.] DER. hand-brǽd."
25863,brǣð,"vapor, breath, wind",4920,brǽd,broad,"broad; latus, Beo. Th. 4421, note. v. brád."
25883,brǣde,raw meat,4923,brǽde,Roasted meat,"Roasted meat; assatura :-- Brǽde assura vel assatura, Ælfc. Gl. 31; Som. 61, 85; Wrt. Voc. 27, 15. [Dut. ge-braad, n: Ger. brate, m. caro assa: M. H. Ger. bráte, m: O. H. Ger. bráto, m. assatura.]"
25883,brǣde,raw meat,4924,brǽde,The breadth,The breadth; latum. v. lenden-brǽde.
27613,breahtm,altercation,4977,breahtm,"A noise, tumult, sound, cry","A noise, tumult, sound, cry; fragor, strepitus, tumultus, clamor, vociferatio :-- Ðá wearþ breahtm hæfen then a noise was raised, Exon. 36 a; Th. 118, 1; Gú. 233. Breahtem stígeþ a tumult rises, 83 b; Th. 314, 25, note; Mó. 19. Breahtmum hwurfon ymb ðæt háte hús hǽþne leóde the heathen people surrounded that hot house with cries, 55 a; Th. 195, 25; Az. 161: 57 b; Th. 206, 29; Ph. 134. [O. Sax. brahtum, braht, m: M. H. Ger. O. H. Ger. braht, m: Dan. brag, n: Swed. Icel. brak, n.] DER. brecan to break."
27613,breahtm,altercation,4978,breahtm,"a shining, moment, glance, an atom","a shining, moment, glance, an atom; scintillatio, atomus :-- Breahtm atomus, Cot. 36: 100. v. bearhtm brightness."
26332,brēdan,"move quickly, swing",5000,bredan,"to weave,","to weave, BRAID, knit, join together, draw, pluck; plectere, nectere, vibrare, gladium stringere :-- Ic brede nett plecto, Ælfc. Gr. 28, 5; Som. 32, 8. Ic brede me max plecto mihi retia, Coll. Monast. Th. 21, 13. Beadohrægl broden on breóstum læg the armour [lit. war-garment] joined together lay on my breast, Beo. Th. 1108; B. 552: 3100; B. 1548. Byrhtnóþ bræd bill of scéðe Byrhtnoth drew his battle-axe from its sheath, Byrht. Th. 136, 36; By. 162. Híg brudon up heora ancran they drew up their anchors, Chr. 1052; Erl. 184, 23. Sweord ǽr gemealt, forbarn broden mǽl, wæs ðæt blód to ðæs hát the sword had already melted, the drawn brand was burnt, so hot was the blood, Beo. Th. 3236; B. 1616. Se bræd of ðæm beorne blódigne gár he plucked the bloody dart from the chief, Byrht. Th. 136, 20; By. 154."
26332,brēdan,"move quickly, swing",5001,brédan,"to roast, broil, warm","to roast, broil, warm, Cot. 86. v. brǽdan."
26332,brēdan,"move quickly, swing",5002,bredan,to make broad,"to make broad, Bt. 18, 1; Rawl. 38, 33, MS. Cot. v. brǽdan."
25874,brōd,"brood, breeding",5185,bród,"a growing together, congealing, waxing hard;","a growing together, congealing, waxing hard; concretio. Cot. 55."
25874,brōd,"brood, breeding",5186,bród,"Freely, of free cost","Freely, of free cost; gratis :-- Bród gratis, Wrt. Voc. 284, 71."
80719,ðroht,effort; oppressive,7963,droht,Manner,"Manner or condition of life; vitæ condĭtio :-- Hú he his wísna trúwade, drohtes, on ðære dimman ádle how he trusted in his morals, his manner of living, in that hidden malady, Exon. 49 b; Th. 171, 31; Gú. 1135. v. drohtaþ."
80719,ðroht,effort; oppressive,7964,droht,"drawn, draught","drawn, draught; tractus, haustus, Cot. 202, Som. Ben. Lye."
24128,fléah,\N,10853,fleah,a flea,"a flea; pūlex, Glos. Epnl. Recd. 161, 42. v. fleá."
24128,fléah,\N,10854,fleah,indecl. n:,"indecl. n: fleá, an; m. A white spot in the eye; albūgo :-- Þurh ðone æpl ðæs eágan mon mæg geseón, gif him ðæt fleah on ne gǽþ, gif hine ðonne ðæt fleah mid ealle ofergǽþ, ðonne ne mæg he nóht geseón a man can see with the pupil of the eye, if the white speck does not spread over it, if the white speck spreads all over it, then he cannot see anything, Past. 11, 4; Hat. MS. 15b, 4. Se hæfþ eallinga fleah on his módes eágum he has altogether a white speck in the eyes of his mind, 11, 4; Hat. MS. 15b, 1."
24128,fléah,\N,10855,fleáh,flew,"flew, Ps. Spl. 17, 12; p. of fleógan."
24128,fléah,\N,10856,fleáh,fled,"fled, Ps. Lamb. 113, 3; p. of fleón."
63641,fyrst,roof ridge,12979,FYRST,"the first entrance, a threshold, door;","the first entrance, a threshold, door; limen, Cot. 118."
63641,fyrst,roof ridge,12980,FYRST,"A space of time, time, respite, truce","A space of time, time, respite, truce; spătium tempŏris, tempus constĭtūtum, intercăpēdo :-- Næs hit lengra fyrst it was not a longer space of time, Beo. Th. 269; B. 134: 5104; B. 2555. Ne wæs se fyrst micel the respite was not great, Exon. 37 a; Th. 121, 32; Gú. 297. Æfter miclum fyrste post multum tempŏris, Mt. Bos. 25, 19: 26, 73: Ex. 17, 4: Boutr. Scrd. 18, 32: 20, 19. Hæfde nýdfara nihtlangne fyrst the fugitive had a night-long space, Cd. 154; Th. 191, 2; Exod. 208: Andr. Kmbl. 1668; An. 836: 2620; An. 1311. Fyrst næfdon ðæt hí ǽton nec spătium mandūcandi hăbēbant, Mk. Bos. 6, 31: Chr. 1004; Erl. 139, 22. Ðý fyrste in the time, Beo. Th. 5139; B. 2573. [Laym. first, uirst, urist, feorst: Orm. fresst: Plat. ferst, f: O. Sax. vrist. f; O. Frs. ferst, first, frist, n: Dut. Kil. verste, verst, frist, virst dilātio: Ger. frist, f: M. H. Ger. vrist, f: O. H. Ger. frist, f. mŏra, spătium: Dan. frist, m. f: Swed. frist, m.] DER. lang-fyrst."
63641,fyrst,roof ridge,12981,FYRST,adj.,"adj. FIRST; prīmus :-- Fyrst ferhþ-bana the first life-destroyer, Cd. 162; Th. 203, 5; Exod. 399. [Wyc. R. Glouc. firste: Piers P. furste, ferste: Orm. firrste: Plat. foorste a prince: O. Sax. furisto first: Frs. foarste: O. Frs. ferost: Dut. vorst, m. a prince: Ger. fürst, m. a prince: M. H. Ger. vürst first: O. H. Ger. furisto: Dan. Swed. först, förste: Icel. fyrstr first, foremost.]"
63641,fyrst,roof ridge,12982,fyrst,At,"At FIRST; primo :-- Se biscop com fyrst to Élíg the bishop came first to Ely, Chr. 963; Erl. 121, 20: 123, 2."
41755,gāst,spirit (as opposed to body); supernatural ghostly being,13275,gast,a guest,"a guest; hospes, Cot. 102. DER. gast-hof, -hús, -líc. v. gæst."
41755,gāst,spirit (as opposed to body); supernatural ghostly being,13276,GÁST,the breath;,"the breath; hālĭtus, spīrāmen :-- Ne ne is gást on múþe heora there is not breath in their mouth, Ps. Spl. 134, 17. Ðæt ic ofsleá eall flǽsc, on ðam ðe ys lífes gást that I may slay all flesh, in which is the breath of life, Gen. 6, 17. Mid gáste múþes his with the breath of his mouth, Ps. Lamb. 32, 6. Blǽde oððe gáste spīrāmĭne, Hymn Surt. 43, 36."
42448,genge,passable,15337,genge,A,"A GANG, flock, company; grex :-- Ðæt wæs Hereweard and his genge that was Hereward and his followers, Chr. 1070; Erl. 207, 29. [Laym. Orm. genge a host, retinue.]"
42448,genge,passable,15338,génge,I would go,"I would go, Cd. 39; Th. 51, 29; Gen. 834; p. subj. of gangan."
42448,genge,passable,15339,genge,"Going, current, prevalent, valid","Going, current, prevalent, valid :-- Ðeáh ðe ðæs cyninges béne mid hine swíðode and genge wǽre preces regis illius multum valere apud eum, Bd. 3, 12; S. 537, 19. Ðæt his sóþ fore us genge weorðe that his truth be current before us, Exon. 43 b; Th. 147, 35; Gú. 737. Á ðín dóm sý gód and genge ever be thy judgment good and valid, 54 b; Th. 192, 20; Az. 109. Gód biþ genge and wiþ God lenge good prevails and lasts before God, 91 a; Th. 341, 4; Gn. Ex. 121. [O. H. Ger. gengi usual: Ger. gäng.]"
41890,glǣd,"embers, flame, glowing coal, coal",17116,glæd,"Gladness, joy","Gladness, joy :-- Swá missenlíce meahtig dryhten eallum dǽleþ sumum earfeþa dǽl sumum geógaþe glæd thus diversely does the mighty Lord allot to all, to one a share of troubles, to one the gladness of youth, Exon. 88 a; Th. 331, 14; Vy. 68. Perhaps here the form given by Lye ǽr sun gó to glade, v. Grm. D. M. 702-3. [Cf. Icel. gleði; f: Dan. glæde gladness, merriment: and A. R. gledful.]"
41890,glǣd,"embers, flame, glowing coal, coal",17117,GLÆD,"shining, bright","shining, bright :-- Glæd mid golde bright with gold, Exon. 125 a; Th. 480, 16; Rä. 64, 3. Wyrþ heó ungladu ðeáh heó ǽr gladu wǽre on to lócienne it [the sea] becomes turbid though before it was bright to look at [cf. glæshlutru on to seónne, 24], and the Latin sordida visibus obstat], Bt, 6; Fox 14, 26: Bt. Met. Fox 5, 21; Met. 5, 11. Godes condelle glædum gimme God's candle, the bright jewel [the sun], Exon. 57 a; Th. 204, 3; Ph. 92: 64 b; Th. 237, 20; Ph. 593. Glad seolfor shining silver, Cd. 129; Th. 164, 24; Gen. 2719. Óðer biþ golde glædra óðer biþ grundum sweartra one is brighter than gold, the other darker than the depths, Salm. Kmbl. 975; Sal. 488. Gimma gladost brightest of jewels, Exon. 60 a; Th. 218, 3; Ph. 289."
72357,hȳd,skin,20312,HÝÐ,f.,"f. 'A HITHE, or place that receives the ship, etc., on its landing; a low shore, fit to be a landing place for boats, etc.,' a port, haven :-- Hýð angiportus, i. refrigerium navium, Ælfc. Gl. 5; Som. 56, 32 : Wrt. Voc. 17, 36 : confugium, i. statium, portus, ii. 131, 5l. Hýð portus, Ælfc. Gr. 11 ; Som. 15, 8. Seó án hýð byþ simle smyltu æfter eallum ðám ýstum úrra geswinca hic portus placida manens quiete, Bt. 34, 8; Fox 144, 27 : Bt. Met. Fox 21, 21, 25; Met. 21, 11, 13. Ðæt hie wilnigen ðære hýðe ðæs gesinscipes ut conjugii portum petant, Past. 51, 8; Swt. 401, 33. Martha swanc ðá swilce ors réwette and Maria sæt stille swilce æt ðære hýðe, Homl. Th. ii. 440, 32. Hera ðone steórman ac ná ǽrðan ðe hé becume gesundful tó ðære hýðe, 560, 22. Cómon ðǽr þrý men tó ðære hýðe three men came to the landing-place, Guthl. 11; Gdwin. 54, 24. Ðǽr æt hýðe stód æðelinges fær, Beo. Th. 63 ; B. 32: Elen. Kmbl. 495; El. 248: Exon. 52 a ; Th. 182, 8; Gú. 1307. Hé hí on hǽlo hýðe gelǽdde eduxit eos in portum, Ps. Th. 106, 29; Exon, 20 b ; Th. 53, 34; Cri. 860: Salm. Kmbl. 489; Sal. 245. [Prompt. Parv. hyþe, where bootys ryve to londe, or stonde stacio. ' Hithe occurs in the names of seaports, and also landing-places on rivers, far from the coast,' p. 242, note 1. Kemble, Cod. Dipl. iii. xxxii, notes 'Rotherhithe (hrýðra hýð) the place where oxen were landed; Clayhithe, near Cambridge; Erith, in Kent and Cambridge, Eárhýd; Cwénhýð, Queenhithe.']"
72357,hȳd,skin,20313,hyð,"Advantage, gain, profit, benefit","Advantage, gain, profit, benefit :-- Hyð vel freme commodum, questus, Ælfc. Gl. 81; Som. 73, 25 ; Wrt. Voc. 47, 30. Gif feohbót áríseþ ðæt gebyreþ rihtlíce tó þearfena hyððe if a money-fine arises, it is properly applied for the benefit of the needy, L. Eth. vi. 51; Th. i. 328, 6. Uton dón þearfum sume hyððe úre góda let us do some good to the needy with our wealth, Homl. Th. ii. 100, 35. Ða ðe for lirum hwílwendlícra hyðða heófiaþ those who mourn for losses of temporary advantages, i. 550, 29. On earmra manna hyððum for the advantage of poor men, L. I. P. 19 ; Th. ii. 328, 11. Se hýra smeáþ embe ða woruldlícan hyðða and lǽt tó gýmeleáste ðæra sceápa lyre the hireling inquires after worldly advantages, and leaves to neglect the loss of the sheep, Homl.Th. i. 240, 29."
54563,lǣð,landed property,20831,lǽd,"Chart. Th. 166, 21. v. lǽwed.","Chart. Th. 166, 21. v. lǽwed."
54563,lǣð,landed property,20832,lǽd,. v. un-lǽd.,. v. un-lǽd.
